"100bp_paired" "50bp_paired" "100bp_single" "50bp_single"
"245" "BnaC08g45360D" "BnaC09g50470D" "BnaA10g27250D" "BnaC02g02850D"
"246" "BnaCnng03870D" "BnaA09g00960D" "BnaA01g07750D" "BnaA06g09750D"
"247" "BnaC09g03200D" "BnaCnng03210D" "BnaC02g47920D" "BnaC09g03610D"
"248" "BnaC01g00760D" "BnaC08g50140D" "BnaC08g44380D" "BnaCnng03760D"
"249" "BnaCnng03760D" "BnaC03g08930D" "BnaA09g01640D" "BnaC02g05300D"
"250" "BnaC09g50470D" "BnaC03g00320D" "BnaC02g42340D" "BnaC05g48670D"
"251" "BnaA09g15220D" "BnaC02g28840D" "BnaCnng02610D" "BnaA03g10960D"
"252" "BnaC03g03560D" "BnaA06g09750D" "BnaC08g45540D" "BnaA05g20150D"
"253" "BnaC02g05000D" "BnaC09g00150D" "BnaC01g38370D" "BnaA09g00810D"
"254" "BnaC03g71110D" "BnaC06g33130D" "BnaC08g46750D" "BnaC04g17000D"
"255" "BnaA06g20020D" "BnaC08g00310D" "BnaC09g01810D" "BnaC02g05260D"
"256" "BnaA03g10960D" "BnaC02g03380D" "BnaA09g00390D" "BnaCnng29150D"
"257" "BnaC03g71330D" "BnaA07g26160D" "BnaC09g02440D" "BnaCnng25310D"
"258" "BnaCnng02860D" "BnaC03g71100D" "BnaC03g04400D" "BnaC03g04970D"
"259" "BnaC03g09840D" "BnaC02g03460D" "BnaCnng03210D" "BnaA10g27720D"
"260" "BnaAnng27540D" "BnaC08g41170D" "BnaC02g25110D" "BnaA10g27330D"
"261" "BnaC02g02480D" "BnaAnng29440D" "BnaC06g33130D" "BnaA09g15220D"
"262" "BnaC03g71320D" "BnaC02g01670D" "BnaAnng23410D" "BnaA03g42190D"
"263" "BnaA10g14050D" "BnaCnng42580D" "BnaA09g01390D" "BnaCnng02900D"
"264" "BnaCnng25310D" "BnaC01g38370D" "BnaA09g00810D" "BnaC06g25090D"
"265" "BnaA09g23910D" "BnaCnng03100D" "BnaA03g55600D" "BnaA10g14050D"
"266" "BnaA09g01000D" "BnaC02g05210D" "BnaC09g50590D" "BnaC08g50180D"
"267" "BnaC05g48280D" "BnaA07g15090D" "BnaC02g40770D" "BnaA06g03330D"
"268" "BnaC03g02440D" "BnaC02g42880D" "BnaA09g38100D" "BnaC09g50640D"
"269" "BnaA05g07310D" "BnaA10g00930D" "BnaC08g44710D" "BnaC02g06390D"
"270" "BnaCnng42830D" "BnaCnng25310D" "BnaC03g71320D" "BnaC02g05880D"
"271" "BnaC08g43770D" "BnaA07g30390D" "BnaCnng05860D" "BnaA07g15390D"
"272" "BnaC02g05680D" "BnaC02g00120D" "BnaC02g35320D" "BnaA02g02690D"
"273" "BnaA01g05300D" "BnaCnng03280D" "BnaA10g27330D" "BnaC05g48620D"
"274" "BnaC03g08660D" "BnaA09g43980D" "BnaA02g02140D" "BnaA02g04220D"
"275" "BnaA10g02090D" "BnaCnng23250D" "BnaCnng41700D" "BnaA09g00390D"
"276" "BnaC02g00990D" "BnaC02g05680D" "BnaC08g44900D" "BnaC09g01650D"
"277" "BnaC08g44380D" "BnaC09g02690D" "BnaC09g50470D" "BnaCnng03220D"
"278" "BnaC09g02870D" "BnaCnng03150D" "BnaCnng03280D" "BnaCnng42620D"
"279" "BnaC08g50180D" "BnaA05g07310D" "BnaC02g03460D" "BnaCnng40400D"
"280" "BnaC06g40610D" "BnaC08g45360D" "BnaC03g15890D" "BnaC03g05580D"
"281" "BnaC02g05260D" "BnaC08g46750D" "BnaAnng29440D" "BnaC03g02850D"
"282" "BnaC02g03380D" "BnaCnng20070D" "BnaA10g27430D" "BnaAnng00510D"
"283" "BnaC08g44750D" "BnaA06g20500D" "BnaC03g00240D" "BnaCnng44780D"
"284" "BnaCnng03220D" "BnaC08g44330D" "BnaA07g30390D" "BnaC03g04400D"
"285" "BnaC09g02440D" "BnaC05g48600D" "BnaCnng45410D" "BnaC02g35320D"
"286" "BnaA09g52210D" "BnaC03g01750D" "BnaC09g39460D" "BnaC03g00240D"
"287" "BnaA09g43980D" "BnaA10g14050D" "BnaC08g45380D" "BnaC02g00250D"
"288" "BnaC08g44740D" "BnaC06g37920D" "BnaCnng03150D" "BnaCnng61600D"
"289" "BnaCnng42590D" "BnaC08g45000D" "BnaC03g01790D" "BnaA10g02090D"
