"","logFC","logCPM","LR","PValue","FDR"
"BnaC09g00010D",-10.6526561766539,3.79679458397133,143.185814135359,5.35307979347918e-33,1.89819505124167e-30
"BnaC02g01650D",-7.34372206055783,5.44052144890551,142.464908411782,7.69533647651027e-33,2.71092118135573e-30
"BnaCnng03930D",9.53748865578621,2.63978495654731,142.186578237936,8.8528911735912e-33,3.0984544244506e-30
"BnaC03g03390D",6.44345733624429,3.55473227781703,142.110692384175,9.19767112327342e-33,3.19835661853751e-30
"BnaC02g42880D",-12.0029673709896,5.24483290972566,142.038877648911,9.53631343000297e-33,3.29485742028032e-30
"BnaC08g04100D",-7.91799158655128,3.43098825236525,141.973369039802,9.85608269296478e-33,3.3836496883319e-30
"BnaC04g13900D",7.91122902630956,3.14537739507335,141.452676464821,1.28102696561079e-32,4.37000458350988e-30
"BnaC08g45360D",-7.15549985319486,3.29436270161467,140.664745817475,1.90480960061598e-32,6.45706494739626e-30
"BnaA03g55600D",-10.3748392465434,3.30584303751864,140.466994928425,2.10423344411915e-32,7.08850490028612e-30
"BnaC08g44880D",-6.52546235228641,2.88918092648545,140.304968089143,2.2830991454137e-32,7.6432770707238e-30
"BnaA09g00910D",10.2130761966082,3.63467252342631,140.068637446606,2.57160549782191e-32,8.55598547698168e-30
"BnaC08g44380D",-10.9949050878665,3.93769586202101,139.388375037145,3.62212978902574e-32,1.19475150588257e-29
"BnaC02g05310D",-10.0284461704225,3.0500670270104,139.38116498887,3.63530393819442e-32,1.19475150588257e-29
"BnaC09g02870D",8.45708418720029,3.68933457542448,139.275205645374,3.83453191891861e-32,1.24648636366107e-29
"BnaCnng42830D",9.05911278204301,4.06976239068197,139.27290756616,3.83897171316235e-32,1.24648636366107e-29
"BnaA09g52210D",7.14411259595518,3.04735650665213,138.28099658787,6.32610087305845e-32,2.04173958656873e-29
"BnaA02g25430D",10.1371101807403,5.77443452407518,138.240562767669,6.4562274501157e-32,2.07133454365349e-29
"BnaC02g02070D",-5.92727847230431,4.21392997863299,138.047367563717,7.11590372884664e-32,2.26946801823139e-29
"BnaCnng40620D",8.04122330044367,4.35163624271027,137.801345651857,8.05443267032407e-32,2.5536815676341e-29
